document_id,origin_type,title,license,rights_status,original_url,accessed_at
cronologia_ufficiale_01,simulated,Cronologia ufficiale degli eventi,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
dossier_introduttivo_01,simulated,Dossier introduttivo: l’archivio delle mezze verità,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
elenco_personaggi_01,simulated,Elenco dei personaggi dell’archivio,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
garib_d05,authentic,"Documento originale scansionato, 3 pagine","Educational use only within GenAI Academy hackathon; source record has no explicit redistribution license; organizer decision 2026-08-12: retain for didactic use only, not open redistribution",cleared_for_educational_use_only,https://www.150anni.it/webi/_file/documenti/risorgimento/personaggi/garibaldi/garib_d05.pdf,2026-08-05
mappa_geografica_semplice_01,derived,Mappa geografica semplice dei luoghi chiave,Public Domain base; labels CC0-1.0,cleared_for_distribution,https://commons.wikimedia.org/wiki/File:Sicily_location_map.svg,2026-08-05
scheda_luoghi_chiave_01,simulated,Scheda dei luoghi chiave,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
dispaccio_console_inglese_01,simulated,Dispaccio del console britannico sul traffico di Marsala,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
garib_d07,authentic,"Documento originale scansionato, 2 pagine","Educational use only within GenAI Academy hackathon; source record has no explicit redistribution license; organizer decision 2026-08-12: retain for didactic use only, not open redistribution",cleared_for_educational_use_only,https://www.150anni.it/webi/_file/documenti/risorgimento/personaggi/garibaldi/garib_d07.pdf,2026-08-05
garib_d08,authentic,"Documento originale scansionato, 24 pagine","Educational use only within GenAI Academy hackathon; source record has no explicit redistribution license; organizer decision 2026-08-12: retain for didactic use only, not open redistribution",cleared_for_educational_use_only,https://www.150anni.it/webi/_file/documenti/risorgimento/personaggi/garibaldi/garib_d08.pdf,2026-08-05
garib_d09,authentic,"Documento originale scansionato, 2 pagine","Educational use only within GenAI Academy hackathon; source record has no explicit redistribution license; organizer decision 2026-08-12: retain for didactic use only, not open redistribution",cleared_for_educational_use_only,https://www.150anni.it/webi/_file/documenti/risorgimento/personaggi/garibaldi/garib_d09.pdf,2026-08-05
giornale_borbonico_01,simulated,Il Giornale Reale,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
giornale_liberale_01,simulated,La Voce dell’Isola,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
lettera_salina_01,simulated,Lettera del principe Salina al cugino di Trapani,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
lettera_tancredi_01,simulated,Biglietto di Tancredi alla baronessa Sant’Elia,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
nota_funzionario_borbonico_01,simulated,Nota del funzionario borbonico Ruggiero Malaspina,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
Sicily_location_map_960px,derived,Mappa di localizzazione della Sicilia,Public Domain base; labels CC0-1.0,cleared_for_distribution,https://commons.wikimedia.org/wiki/File:Sicily_location_map.svg,2026-08-28
agenda_incontri_01,simulated,Estratto dal taccuino della casa Sant'Elia,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
lettera_danneggiata_01,simulated,"Lettera danneggiata, copia simulata",CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
lettera_porti_feudi_01,simulated,Lettera sulle disposizioni ai porti e ai feudi,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
manifesto_politico_01,simulated,Manifesto politico «Siciliani!»,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
mappa_porti_occidentali_annotata_01,derived,"Carta didattica della Sicilia occidentale, annotata",Public Domain base; labels CC0-1.0,cleared_for_distribution,https://commons.wikimedia.org/wiki/File:Sicily_location_map.svg,2026-08-28
movimenti_diplomatici_01,simulated,Registro delle partenze e dei recapiti consolari,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
registro_passaggio_01,simulated,Registro dei lasciapassare e dei carri,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
scansione_manoscritta_01,simulated,Promemoria manoscritto non firmato,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
articolo_propaganda_01,simulated,"L'Isola unanime, numero commemorativo",CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
bozza_comitato_palermo_v1,simulated,"Comitato di Palermo, minuta del 12 maggio 1860",CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
fonte_dannosa_senza_qualifica_01,simulated,Copia senza intestazione sulle garanzie britanniche,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
lettera_allusiva_donnafugata_01,simulated,Lettera da Donnafugata del 16 maggio 1860,CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
nota_comitato_palermo_v2,simulated,"Comitato di Palermo, nota di rettifica del 14 maggio 1860",CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
nota_diplomatica_incompleta_01,simulated,"Appunto per il dispaccio del 12 maggio, incompleto",CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
testimonianza_contestata_lanza_01,simulated,"Verbale delle dichiarazioni del capitano L., 1882",CC0-1.0 for simulated content; see project LICENSES.md,cleared_for_distribution,,
